song,genre,genreLabel,performer,performerLabel,publication_date,language_of_work_or_name,language_of_work_or_nameLabel,songLabel
http://www.wikidata.org/entity/Q189007,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q350581,Colby O'Donis,2008-04-08T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Just Dance
http://www.wikidata.org/entity/Q189007,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2008-04-08T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Just Dance
http://www.wikidata.org/entity/Q189007,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q350581,Colby O'Donis,2008-04-08T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Just Dance
http://www.wikidata.org/entity/Q189369,http://www.wikidata.org/entity/Q7749,rock and roll,http://www.wikidata.org/entity/Q19848,Lady Gaga,2011-08-23T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,You and I
http://www.wikidata.org/entity/Q189369,http://www.wikidata.org/entity/Q613408,country rock,http://www.wikidata.org/entity/Q19848,Lady Gaga,2011-08-23T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,You and I
http://www.wikidata.org/entity/Q190960,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2009-03-24T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,LoveGame
http://www.wikidata.org/entity/Q190960,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2009-03-24T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,LoveGame
http://www.wikidata.org/entity/Q191070,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2009-01-10T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,"Eh, Eh (Nothing Else I Can Say)"
http://www.wikidata.org/entity/Q191070,http://www.wikidata.org/entity/Q1298934,synth-pop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2009-01-10T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,"Eh, Eh (Nothing Else I Can Say)"
http://www.wikidata.org/entity/Q221166,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q726076,Selena Gomez & the Scene,2011-03-14T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Who Says
http://www.wikidata.org/entity/Q221651,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q41076,Mariah Carey,2008-02-19T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Touch My Body
http://www.wikidata.org/entity/Q221651,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q41076,Mariah Carey,2008-02-19T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Touch My Body
http://www.wikidata.org/entity/Q225871,http://www.wikidata.org/entity/Q45981,rhythm and blues,http://www.wikidata.org/entity/Q155412,Toni Braxton,1996-10-08T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Un-Break My Heart
http://www.wikidata.org/entity/Q229553,http://www.wikidata.org/entity/Q1298934,synth-pop,http://www.wikidata.org/entity/Q11975,Britney Spears,2009-09-29T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,3
http://www.wikidata.org/entity/Q239076,http://www.wikidata.org/entity/Q11366,alternative rock,http://www.wikidata.org/entity/Q11647,Nine Inch Nails,1994-05-30T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Closer
http://www.wikidata.org/entity/Q239076,http://www.wikidata.org/entity/Q968730,industrial rock,http://www.wikidata.org/entity/Q11647,Nine Inch Nails,1994-05-30T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Closer
http://www.wikidata.org/entity/Q239217,http://www.wikidata.org/entity/Q131578,J-pop,http://www.wikidata.org/entity/Q41076,Mariah Carey,1990-11-15T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Someday
http://www.wikidata.org/entity/Q239217,http://www.wikidata.org/entity/Q131578,J-pop,http://www.wikidata.org/entity/Q41076,Mariah Carey,1999-01-27T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Someday
http://www.wikidata.org/entity/Q430243,http://www.wikidata.org/entity/Q11399,rock music,http://www.wikidata.org/entity/Q483285,My Chemical Romance,2005-08-30T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,The Ghost of You
http://www.wikidata.org/entity/Q449698,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q41076,Mariah Carey,1996-03-09T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Always Be My Baby
http://www.wikidata.org/entity/Q449698,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q41076,Mariah Carey,1996-03-09T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Always Be My Baby
http://www.wikidata.org/entity/Q453716,http://www.wikidata.org/entity/Q11399,rock music,http://www.wikidata.org/entity/Q204289,Boston,1986-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Amanda
http://www.wikidata.org/entity/Q475031,http://www.wikidata.org/entity/Q11399,rock music,http://www.wikidata.org/entity/Q272203,Van Morrison,1967-06-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Brown Eyed Girl
http://www.wikidata.org/entity/Q475031,http://www.wikidata.org/entity/Q45981,rhythm and blues,http://www.wikidata.org/entity/Q272203,Van Morrison,1967-06-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Brown Eyed Girl
http://www.wikidata.org/entity/Q510066,http://www.wikidata.org/entity/Q206159,psychedelic rock,http://www.wikidata.org/entity/Q45354,The Doors,1971-06-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Riders on the Storm
http://www.wikidata.org/entity/Q547537,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q4235,Miley Cyrus,2009-08-11T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Party in the U.S.A.
http://www.wikidata.org/entity/Q547537,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q4235,Miley Cyrus,2009-08-11T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Party in the U.S.A.
http://www.wikidata.org/entity/Q547537,http://www.wikidata.org/entity/Q851213,electronic dance music,http://www.wikidata.org/entity/Q4235,Miley Cyrus,2009-08-11T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Party in the U.S.A.
http://www.wikidata.org/entity/Q571776,http://www.wikidata.org/entity/Q11399,rock music,http://www.wikidata.org/entity/Q941662,Heart,1986-01-18T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,These Dreams
http://www.wikidata.org/entity/Q582091,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q1744,Madonna,1989-05-09T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Express Yourself
http://www.wikidata.org/entity/Q587272,http://www.wikidata.org/entity/Q484641,pop rock,http://www.wikidata.org/entity/Q12003,Cher,1974-02-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Dark Lady
http://www.wikidata.org/entity/Q595370,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q1744,Madonna,1986-11-19T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Open Your Heart
http://www.wikidata.org/entity/Q608328,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q42493,Katy Perry,2009-01-12T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Thinking of You
http://www.wikidata.org/entity/Q608486,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q41076,Mariah Carey,1997-12-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Butterfly
http://www.wikidata.org/entity/Q616828,http://www.wikidata.org/entity/Q11399,rock music,http://www.wikidata.org/entity/Q26876,Taylor Swift,2012-03-27T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Eyes Open
http://www.wikidata.org/entity/Q623156,http://www.wikidata.org/entity/Q9778,electronic music,http://www.wikidata.org/entity/Q485673,Garbage,1999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,The World Is Not Enough
http://www.wikidata.org/entity/Q623156,http://www.wikidata.org/entity/Q11366,alternative rock,http://www.wikidata.org/entity/Q485673,Garbage,1999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,The World Is Not Enough
