country,population,gdp,countryLabel,continent,continentLabel,lon,lat,coordinate_location,image
http://www.wikidata.org/entity/Q1016,6678567,39798423941,Libya,http://www.wikidata.org/entity/Q15,Africa,17,27,"17,27",http://commons.wikimedia.org/wiki/Special:FilePath/Libyan%20Desert%20-%202006.jpg
http://www.wikidata.org/entity/Q822,6100075,23131941557,Lebanon,http://www.wikidata.org/entity/Q48,Asia,35.766667,33.833333,"35.766667,33.833333",http://commons.wikimedia.org/wiki/Special:FilePath/Beirutcity.jpg
http://www.wikidata.org/entity/Q334,5866139,423796995373,Singapore,http://www.wikidata.org/entity/Q48,Asia,103.8,1.3,"103.8,1.3",http://commons.wikimedia.org/wiki/Special:FilePath/Raffles%20Place.jpg
http://www.wikidata.org/entity/Q792,5744113,29451240000,El Salvador,http://www.wikidata.org/entity/Q49,North America,-88.866111,13.668889,"-88.866111,13.668889",http://commons.wikimedia.org/wiki/Special:FilePath/ES%20JoyadeCeren%2006%202011%20Estructura%209%20Area%202%20Tamazcal%202106%20zoom%20out.jpg
http://www.wikidata.org/entity/Q33,5563970,280825957768,Finland,http://www.wikidata.org/entity/Q46,Europe,27,65,"27,65",http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%B6%C3%B6l%C3%B6nlahti1.jpg
http://www.wikidata.org/entity/Q20,5504329,490293364377,Norway,http://www.wikidata.org/entity/Q46,Europe,11,65,"11,65",http://commons.wikimedia.org/wiki/Special:FilePath/Grimsdalen%20Rondane%20Dovre%20Innlandet%20Norway%20%282004.06.28%29.jpg
http://www.wikidata.org/entity/Q214,5449270,115468803972,Slovakia,http://www.wikidata.org/entity/Q46,Europe,20,49,"20,49",http://commons.wikimedia.org/wiki/Special:FilePath/000%20Sllovakia%20harta.PNG
http://www.wikidata.org/entity/Q219060,5227193,18109000000,State of Palestine,http://www.wikidata.org/entity/Q48,Asia,35.25,32,"35.25,32",http://commons.wikimedia.org/wiki/Special:FilePath/Palestine%20-%2020190204-DSC%200007.jpg
http://www.wikidata.org/entity/Q1014,5214030,3509000000,Liberia,http://www.wikidata.org/entity/Q15,Africa,-9.75,6.533333,"-9.75,6.533333",http://commons.wikimedia.org/wiki/Special:FilePath/Liberian%20Capitol%20Building.jpg
http://www.wikidata.org/entity/Q811,5142098,14145852101,Nicaragua,http://www.wikidata.org/entity/Q49,North America,-85,13,"-85,13",http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9A%D0%B0%D1%84%D0%B5%D0%B4%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D0%B1%D0%BE%D1%80%20%D0%B2%20%D0%9C%D0%B0%D0%BD%D0%B0%D0%B3%D1%83%D0%B0.jpg
http://www.wikidata.org/entity/Q664,5118700,247234053739,New Zealand,http://www.wikidata.org/entity/Q538,Insular Oceania,174,-41.2,"174,-41.2",http://commons.wikimedia.org/wiki/Special:FilePath/Maori%20dancers%20performing%20Haka.jpg
http://www.wikidata.org/entity/Q1025,4614974,9996240419,Mauritania,http://www.wikidata.org/entity/Q15,Africa,-11,21,"-11,21",http://commons.wikimedia.org/wiki/Special:FilePath/Bareina%2C%20Mauritania.jpg
http://www.wikidata.org/entity/Q817,4600000,136797422274,Kuwait,http://www.wikidata.org/entity/Q48,Asia,47.6,29.166667,"47.6,29.166667",http://commons.wikimedia.org/wiki/Special:FilePath/Kuwait%20City%2C%20Kuwait.JPG
http://www.wikidata.org/entity/Q224,3871833,68843674641,Croatia,http://www.wikidata.org/entity/Q46,Europe,15.466667,45.25,"15.466667,45.25",http://commons.wikimedia.org/wiki/Special:FilePath/Dubrovnik%20june%202011..JPG
http://www.wikidata.org/entity/Q711,3409939,15286441740,Mongolia,http://www.wikidata.org/entity/Q48,Asia,105,46,"105,46",http://commons.wikimedia.org/wiki/Special:FilePath/Gurvger.jpg
http://www.wikidata.org/entity/Q399,2930450,13861409969,Armenia,http://www.wikidata.org/entity/Q48,Asia,44.95,40.383333,"44.95,40.383333",http://commons.wikimedia.org/wiki/Special:FilePath/Noravank%20panorama.jpg
http://www.wikidata.org/entity/Q222,2793592,17930565119,Albania,http://www.wikidata.org/entity/Q46,Europe,20,41,"20,41",http://commons.wikimedia.org/wiki/Special:FilePath/ISS006-E-45668%20-%20View%20of%20Albania.jpg
http://www.wikidata.org/entity/Q766,2697983,14657586359,Jamaica,http://www.wikidata.org/entity/Q49,North America,-77.4,18.18,"-77.4,18.18",http://commons.wikimedia.org/wiki/Special:FilePath/Satellite%20image%20of%20Jamaica%20in%20November%202001.jpg
http://www.wikidata.org/entity/Q1005,2639916,2038414974,The Gambia,http://www.wikidata.org/entity/Q15,Africa,-15.5,13.5,"-15.5,13.5",http://commons.wikimedia.org/wiki/Special:FilePath/Gambia-kairabaav.JPG
http://www.wikidata.org/entity/Q846,2639211,179677131707,Qatar,http://www.wikidata.org/entity/Q48,Asia,51.212767,25.269535,"51.212767,25.269535",http://commons.wikimedia.org/wiki/Special:FilePath/Modern%20Doha.jpg
http://www.wikidata.org/entity/Q217,2603813,13692230147,Moldova,http://www.wikidata.org/entity/Q46,Europe,28.516667,47.25,"28.516667,47.25",http://commons.wikimedia.org/wiki/Special:FilePath/MoldRelief.jpg
http://www.wikidata.org/entity/Q1030,2533794,12446290855,Namibia,http://www.wikidata.org/entity/Q15,Africa,17,-23,"17,-23",http://commons.wikimedia.org/wiki/Special:FilePath/Duna%20en%20Sossusvlei%2C%20Namibia%2C%202018-08-06%2C%20DD%20002.jpg
http://www.wikidata.org/entity/Q963,2291661,18737066307,Botswana,http://www.wikidata.org/entity/Q15,Africa,23.7,-22.2,"23.7,-22.2",http://commons.wikimedia.org/wiki/Special:FilePath/Okavango%20Delta%2C%20Botswana%20%282674364913%29.jpg
http://www.wikidata.org/entity/Q215,2066880,61748586535,Slovenia,http://www.wikidata.org/entity/Q46,Europe,15,46,"15,46",http://commons.wikimedia.org/wiki/Special:FilePath/SLO%20%E2%80%94%20Ljubljana%20%28Blick%20auf%20Burg%29%202020.JPG
http://www.wikidata.org/entity/Q1000,2025137,4800000000,Gabon,http://www.wikidata.org/entity/Q15,Africa,11.5,-0.683330555,"11.5,-0.683330555",http://commons.wikimedia.org/wiki/Special:FilePath/Gabon%20sat.png
http://www.wikidata.org/entity/Q1013,2007201,2373416269,Lesotho,http://www.wikidata.org/entity/Q15,Africa,28.25,-29.55,"28.25,-29.55",http://commons.wikimedia.org/wiki/Special:FilePath/Lesotho%20mountain%20village%20%285285775857%29.jpg
